playerID,Seasons,Games,At_Bats,Runs,Hits,Doubles,Triples,Homeruns,RBIs,Stolen_Bases,Walks,Strike_Outs,Intentional_Walks,Hit_by_Pitch,Sac_Hits,Sac_Flys,Double_Plays
bondsbo01,16,1849,7043,1258,1886,302,66,332,1024.0,461.0,914,1757.0,75.0,53.0,16.0,64.0,107.0
bondto01,12,488,1975,213,471,53,11,0,174.0,5.0,22,63.0,0.0,0.0,0.0,0.0,7.0
bondwa01,6,365,1199,149,307,40,11,41,179.0,10.0,106,175.0,19.0,17.0,5.0,11.0,21.0
bonege01,1,12,43,6,13,2,0,0,6.0,0.0,4,2.0,0.0,0.0,0.0,0.0,0.0
bonesri01,15,379,20,3,2,0,0,0,3.0,0.0,3,6.0,0.0,0.0,4.0,2.0,0.0
bonetju01,3,46,55,4,7,1,0,0,2.0,0.0,4,13.0,0.0,0.0,2.0,0.0,0.0
boneyha01,1,3,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bongini01,2,68,166,17,43,7,0,0,16.0,0.0,9,8.0,0.0,0.0,4.0,0.0,1.0
bongju01,3,49,11,0,0,0,0,0,0.0,0.0,1,6.0,0.0,0.0,1.0,0.0,0.0
bonhabi01,10,307,471,37,81,15,1,0,24.0,0.0,13,125.0,0.0,1.0,54.0,1.0,9.0
bonhati01,10,231,522,34,84,9,0,0,26.0,1.0,31,89.0,0.0,2.0,37.0,0.0,12.0
bonifem01,18,834,2613,356,669,95,33,13,165.0,166.0,215,605.0,4.0,7.0,43.0,19.0,23.0
bonifjo01,5,224,737,97,178,37,3,23,85.0,1.0,71,228.0,1.0,6.0,1.0,4.0,12.0
bonikjo01,1,30,27,3,4,0,0,0,0.0,0.0,1,15.0,0.0,0.0,2.0,0.0,0.0
bonilbo01,22,2113,7213,1084,2010,408,61,287,1173.0,45.0,912,1204.0,128.0,28.0,5.0,97.0,169.0
bonilju01,6,429,1462,145,375,50,9,7,101.0,7.0,116,108.0,16.0,9.0,22.0,7.0,44.0
bonilli01,2,15,6,0,1,0,0,0,0.0,0.0,1,3.0,0.0,1.0,0.0,0.0,0.0
bonined01,3,62,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
boninlu01,2,21,77,6,14,4,1,0,4.0,3.0,7,11.0,0.0,0.0,2.0,0.0,0.0
bonneba01,10,976,3068,363,833,143,24,56,355.0,64.0,229,387.0,26.0,13.0,27.0,16.0,83.0
bonnebi01,1,2,3,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
bonnebo01,4,61,108,15,21,5,1,0,8.0,1.0,4,16.0,0.0,0.0,3.0,2.0,3.0
bonnefr01,10,246,949,115,244,44,8,4,115.0,28.0,55,60.0,0.0,11.0,13.0,0.0,0.0
bonogu01,1,4,3,1,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
bonsebo01,6,111,6,1,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,3.0,0.0,0.0
bonurze01,9,917,3582,600,1099,232,29,119,704.0,19.0,404,180.0,0.0,17.0,23.0,0.0,40.0
booeev01,4,125,352,43,77,10,4,0,22.0,14.0,34,65.0,0.0,1.0,11.0,0.0,0.0
bookebu01,2,23,33,6,6,1,0,2,5.0,0.0,3,8.0,0.0,0.0,0.0,0.0,2.0
bookech01,5,17,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bookegr01,10,161,23,2,4,2,0,0,1.0,0.0,0,9.0,0.0,0.0,0.0,0.0,0.0
bookero01,5,173,274,38,68,10,3,0,28.0,7.0,27,44.0,9.0,0.0,5.0,1.0,8.0
boolal01,3,129,308,35,73,13,4,7,53.0,0.0,34,42.0,0.0,0.0,6.0,0.0,0.0
boolere01,1,4,6,1,1,0,0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
booneaa01,14,1152,3871,519,1017,216,17,126,555.0,107.0,303,707.0,20.0,80.0,39.0,36.0,74.0
boonebo01,19,2264,7245,679,1838,303,26,105,826.0,38.0,663,608.0,90.0,20.0,142.0,78.0,191.0
boonebr01,16,1780,6683,927,1775,366,28,252,1021.0,94.0,552,1295.0,32.0,69.0,55.0,73.0,168.0
booneda01,4,42,50,3,9,2,0,0,2.0,0.0,2,3.0,0.0,0.0,1.0,0.0,0.0
booneda02,5,61,10,0,3,1,0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
boonege01,1,4,6,0,2,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
booneik01,8,356,1160,177,372,79,11,26,194.0,3.0,138,67.0,0.0,2.0,13.0,0.0,0.0
boonelu01,5,315,1028,102,215,27,4,6,76.0,32.0,91,111.0,0.0,13.0,37.0,0.0,0.0
boonera01,24,1373,4589,645,1260,162,46,151,737.0,21.0,608,463.0,20.0,27.0,45.0,28.0,133.0
bootcch01,7,91,2,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
booth01,1,1,2,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
bootham01,6,110,438,47,98,5,1,0,27.0,0.0,21,21.0,0.0,0.0,0.0,0.0,0.0
boothed01,9,242,1016,128,243,26,13,1,76.0,4.0,7,11.0,0.0,0.0,0.0,0.0,6.0
bootyjo01,3,13,26,3,7,1,0,0,4.0,0.0,4,9.0,0.0,0.0,0.0,0.0,1.0
boozejo01,7,172,74,2,12,0,0,0,2.0,0.0,2,24.0,0.0,0.0,4.0,0.0,0.0
borboju01,7,294,802,112,219,19,8,8,76.0,47.0,49,121.0,0.0,5.0,20.0,2.0,10.0
borbope01,14,593,156,14,32,2,0,0,7.0,1.0,1,44.0,0.0,1.0,9.0,0.0,2.0
borbope02,11,368,7,0,1,0,0,0,0.0,0.0,0,4.0,0.0,0.0,1.0,0.0,0.0
borchge01,2,11,33,3,2,2,0,0,2.0,1.0,1,13.0,0.0,0.0,0.0,0.0,0.0
borchjo01,8,301,716,89,147,23,2,26,77.0,5.0,74,222.0,7.0,6.0,1.0,3.0,13.0
bordafr01,11,930,2632,410,745,120,28,14,270.0,66.0,173,186.0,0.0,16.0,48.0,0.0,37.0
bordejo01,2,39,149,22,28,3,0,0,8.0,0.0,3,4.0,0.0,0.0,0.0,0.0,0.0
bordepa01,28,1099,3282,289,831,168,12,69,346.0,9.0,155,557.0,13.0,12.0,31.0,19.0,94.0
bordimi01,16,1720,5770,676,1500,257,30,91,626.0,96.0,500,800.0,10.0,63.0,97.0,54.0,145.0
bordiri01,9,173,23,0,1,0,0,0,0.0,0.0,1,10.0,0.0,0.0,0.0,0.0,1.0
bordlbi01,1,8,6,0,1,0,0,0,0.0,0.0,1,1.0,0.0,0.0,2.0,0.0,0.0
borgmgl01,9,474,1294,137,296,42,4,16,151.0,4.0,191,191.0,9.0,3.0,20.0,18.0,30.0
borispa01,1,23,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
borkfr01,1,33,5,1,1,0,0,0,2.0,0.0,1,4.0,0.0,0.0,1.0,0.0,0.0
borkobo01,8,470,1170,126,294,43,10,16,112.0,2.0,76,166.0,0.0,3.0,8.0,3.0,32.0
borkoda01,7,181,10,0,0,0,0,0,1.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0
borlato01,2,27,13,0,0,0,0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0
borlato02,11,207,12,1,1,0,0,0,2.0,0.0,0,3.0,0.0,0.0,1.0,1.0,0.0
bormajo01,1,1,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
boromre01,2,62,144,20,36,4,0,0,10.0,4.0,9,10.0,0.0,0.0,8.0,0.0,3.0
borosst01,7,422,1255,141,308,50,7,26,149.0,11.0,181,174.0,19.0,13.0,13.0,11.0,30.0
borowha01,17,316,571,43,99,22,6,0,48.0,0.0,28,138.0,0.0,1.0,46.0,0.0,12.0
borowjo01,16,423,9,1,2,0,0,0,0.0,0.0,0,7.0,0.0,0.0,1.0,0.0,0.0
bortoba01,6,317,940,139,254,31,17,4,136.0,21.0,160,101.0,0.0,9.0,33.0,0.0,0.0
borucry01,4,64,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
boscajc01,4,17,28,2,7,1,0,0,2.0,0.0,1,8.0,0.0,1.0,0.0,0.0,0.0
boscawi01,1,6,3,0,1,0,0,0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
boschdo01,4,146,318,34,52,6,1,4,13.0,4.0,22,77.0,1.0,0.0,5.0,1.0,6.0
bosetri01,9,445,1543,172,385,70,8,17,133.0,30.0,79,188.0,1.0,9.0,15.0,10.0,28.0
boshebu01,4,128,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bosioch01,11,310,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
boskish01,14,222,145,10,26,5,2,1,8.0,0.0,9,45.0,0.0,0.0,9.0,0.0,0.0
bosleth01,16,784,1581,183,430,50,12,20,158.0,47.0,143,275.0,15.0,1.0,14.0,16.0,33.0
bosmadi01,15,308,329,14,41,5,0,0,14.0,0.0,19,124.0,0.0,0.0,34.0,0.0,3.0
bosseme01,1,7,4,1,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
bossha01,4,155,519,64,139,19,8,1,61.0,2.0,30,34.0,0.0,1.0,6.0,0.0,0.0
bostiak01,1,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bostich01,4,35,43,6,11,3,0,0,3.0,0.0,6,16.0,0.0,1.0,0.0,0.0,0.0
bostihe01,1,2,7,0,0,0,0,0,2.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
bostoda01,13,1058,2629,378,655,131,22,83,278.0,98.0,237,469.0,23.0,8.0,14.0,13.0,37.0
bostoly01,4,526,2004,305,624,102,30,23,250.0,45.0,171,174.0,20.0,9.0,10.0,20.0,64.0
boswean01,3,12,30,5,7,0,0,0,2.0,2.0,2,3.0,0.0,1.0,0.0,0.0,0.0
bosweda01,10,231,367,41,74,10,4,4,22.0,0.0,6,119.0,0.0,4.0,17.0,1.0,9.0
bosweke01,11,930,2517,266,625,91,19,31,244.0,27.0,240,239.0,29.0,9.0,25.0,25.0,90.0
boteda01,4,343,903,117,205,39,5,32,138.0,10.0,107,266.0,5.0,18.0,1.0,9.0,33.0
botelde01,2,19,14,2,2,0,0,0,0.0,0.0,1,5.0,0.0,0.0,0.0,0.0,0.0
bottajo01,1,26,40,3,11,3,0,1,7.0,0.0,5,10.0,0.0,1.0,0.0,0.0,0.0
bottari01,12,562,17,1,2,2,0,0,1.0,0.0,0,8.0,0.0,0.0,1.0,0.0,1.0
botteke01,15,292,191,13,31,3,0,0,10.0,1.0,2,66.0,0.0,1.0,26.0,0.0,0.0
bottira01,2,18,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bottoji01,16,1991,7471,1177,2313,465,151,219,1422.0,58.0,664,591.0,0.0,43.0,177.0,0.0,33.0
bottsja01,4,93,282,33,65,15,1,5,28.0,1.0,38,108.0,1.0,3.0,0.0,3.0,9.0
botzbo01,1,35,9,1,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,1.0,0.0,0.0
bouchal01,1,147,516,62,119,26,4,2,49.0,13.0,52,88.0,0.0,2.0,23.0,0.0,0.0
bouchde01,6,35,9,1,2,2,0,0,0.0,0.0,0,4.0,0.0,0.0,3.0,0.0,0.0
bouched01,9,670,2199,298,583,114,21,61,290.0,5.0,340,401.0,29.0,27.0,9.0,18.0,47.0
bouchme01,3,17,17,2,5,1,1,0,2.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
boudrlo01,15,1646,6029,861,1779,385,66,68,789.0,51.0,796,309.0,0.0,34.0,164.0,0.0,155.0
bouldca01,4,29,21,0,0,0,0,0,0.0,0.0,2,15.0,0.0,0.0,0.0,0.0,0.0
boultja01,3,48,92,5,13,1,0,0,5.0,1.0,4,26.0,0.0,1.0,4.0,0.0,0.0
bourgja01,8,317,708,97,179,20,7,6,44.0,54.0,47,94.0,0.0,1.0,5.0,0.0,16.0
bourgst01,1,15,11,1,3,2,0,0,1.0,0.0,2,2.0,0.0,0.0,1.0,0.0,0.0
bourjch01,1,13,22,4,5,1,0,1,2.0,0.0,2,7.0,0.0,0.0,0.0,0.0,1.0
bourjpe01,10,875,2116,284,502,91,37,43,170.0,68.0,134,562.0,7.0,36.0,37.0,11.0,35.0
bourju01,8,559,1714,206,433,71,2,92,303.0,3.0,218,447.0,26.0,6.0,0.0,12.0,54.0
bournmi01,17,1361,4784,678,1272,191,69,36,361.0,341.0,445,1124.0,13.0,19.0,52.0,23.0,34.0
bournra01,7,365,932,104,234,44,3,4,85.0,12.0,59,64.0,3.0,10.0,30.0,4.0,32.0
bourqja01,2,7,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bourqpa01,8,201,405,36,87,17,2,12,61.0,1.0,58,73.0,4.0,2.0,1.0,5.0,5.0
boutoji01,12,307,347,8,35,3,0,0,21.0,0.0,14,160.0,0.0,3.0,29.0,1.0,2.0
boveemi01,1,3,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bowala01,18,2247,8418,987,2191,262,99,15,525.0,318.0,474,569.0,45.0,17.0,151.0,43.0,121.0
bowcobe01,1,14,50,7,16,3,1,1,10.0,1.0,3,15.0,0.0,0.0,2.0,0.0,0.0
bowdebe01,1,39,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bowdemi01,8,103,2,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
bowdeti01,1,7,9,0,2,0,0,0,0.0,0.0,1,6.0,0.0,0.0,0.0,0.0,0.0
bowench01,1,3,5,0,1,0,0,0,1.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0
bowency01,1,2,3,1,1,0,0,0,1.0,0.0,1,2.0,0.0,0.0,2.0,0.0,0.0
bowenro01,10,216,378,50,79,20,1,9,43.0,1.0,48,139.0,3.0,3.0,6.0,4.0,7.0
bowenry01,5,71,102,9,18,4,1,0,3.0,0.0,5,36.0,0.0,0.0,5.0,0.0,0.0
bowensa01,7,479,1287,141,287,48,6,45,143.0,25.0,100,293.0,4.0,10.0,14.0,7.0,33.0
bowensa02,3,16,22,3,3,0,0,1,1.0,1.0,3,7.0,0.0,0.0,0.0,0.0,0.0
bowerbi01,1,26,78,5,15,2,1,0,6.0,1.0,4,5.0,0.0,0.0,1.0,0.0,4.0
bowerbr01,1,21,39,6,12,2,0,0,3.0,0.0,0,7.0,0.0,0.0,0.0,0.0,1.0
bowerce01,2,19,0,1,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
bowerfr01,17,1037,3410,345,853,102,38,13,393.0,81.0,130,242.0,0.0,48.0,71.0,0.0,0.0
bowersh01,1,5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bowerst01,3,18,5,3,1,0,0,0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0
bowesfr01,1,61,232,28,51,5,2,0,24.0,11.0,7,0.0,0.0,1.0,0.0,0.0,0.0
bowieji01,1,6,14,0,3,0,0,0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,1.0
bowiemi01,8,88,26,0,4,0,0,0,4.0,0.0,1,7.0,0.0,0.0,2.0,0.0,0.0
bowkejo01,8,240,574,54,133,25,5,17,73.0,2.0,39,136.0,4.0,4.0,0.0,5.0,11.0
bowlebr01,3,24,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bowlech01,2,16,29,0,6,1,0,0,3.0,0.0,0,4.0,0.0,0.0,0.0,0.0,1.0
bowleem01,1,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bowlegr01,2,17,12,2,1,1,0,0,2.0,0.0,1,6.0,0.0,0.0,0.0,0.0,0.0
bowlist01,2,103,236,23,47,10,1,1,15.0,2.0,39,47.0,1.0,0.0,3.0,2.0,8.0
bowliwe01,1,2,5,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bowmaab01,2,24,21,0,1,0,0,0,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,0.0
bowmabi01,1,15,45,2,4,1,0,0,5.0,0.0,5,9.0,0.0,1.0,0.0,0.0,0.0
bowmabo01,4,109,101,5,7,1,0,1,4.0,0.0,10,61.0,0.0,0.0,10.0,0.0,1.0
bowmabo02,5,256,519,71,129,19,5,17,54.0,0.0,48,109.0,3.0,6.0,6.0,5.0,11.0
bowmael01,1,2,1,1,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
bowmaer01,3,165,205,29,39,4,2,1,10.0,3.0,2,33.0,0.0,1.0,7.0,2.0,4.0
bowmajo01,13,430,639,62,141,24,8,2,75.0,3.0,46,90.0,0.0,2.0,14.0,0.0,12.0
bowmama01,4,184,3,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0
bowmaro01,5,50,18,0,3,0,0,0,0.0,0.0,2,7.0,0.0,0.0,2.0,0.0,0.0
bowmasu01,4,25,94,15,25,5,0,0,6.0,1.0,6,17.0,0.0,0.0,0.0,0.0,0.0
bowsere01,1,1,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bowsfte01,9,235,173,19,22,3,1,0,8.0,0.0,14,66.0,0.0,0.0,13.0,0.0,1.0
bowyetr01,1,8,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
boxbebr01,10,414,3,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
boydbi01,4,146,666,94,192,30,9,3,91.0,6.0,10,13.0,0.0,0.0,0.0,0.0,2.0
boydbo01,11,693,1936,253,567,81,23,19,175.0,9.0,167,114.0,8.0,7.0,31.0,11.0,39.0
boydfr01,1,2,5,3,1,1,0,0,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
boydga01,1,8,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
boydja01,3,62,193,31,47,5,1,1,18.0,4.0,22,33.0,0.0,8.0,0.0,0.0,0.0
boydja02,5,113,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
boydma01,9,149,10,0,3,0,0,0,0.0,0.0,1,4.0,0.0,0.0,1.0,0.0,0.0
boydoi01,12,214,95,2,6,0,0,0,2.0,0.0,3,39.0,0.0,0.0,15.0,0.0,1.0
boydra01,2,10,17,1,2,0,0,0,1.0,0.0,2,3.0,0.0,1.0,1.0,0.0,0.0
boyerbl01,17,447,9,0,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,1.0,0.0,0.0
boyercl01,5,113,120,12,20,5,1,0,8.0,0.0,6,36.0,0.0,0.0,5.0,0.0,4.0
boyercl02,16,1725,5780,645,1396,200,33,162,654.0,41.0,470,931.0,74.0,25.0,37.0,53.0,136.0
boyerke01,19,2034,7455,1104,2143,318,68,282,1141.0,105.0,713,1017.0,97.0,20.0,17.0,63.0,185.0
boylado01,3,21,19,1,2,0,0,0,1.0,0.0,1,6.0,0.0,0.0,0.0,0.0,0.0
boylebu01,5,366,1343,185,389,58,24,12,125.0,24.0,116,125.0,0.0,3.0,12.0,0.0,13.0
boyleed01,3,5,14,0,0,0,0,0,0.0,0.0,2,3.0,0.0,0.0,0.0,0.0,0.0
boyleha01,2,11,9,0,1,0,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
boylehe01,6,291,1049,120,230,42,7,10,70.0,7.0,51,129.0,0.0,4.0,0.0,0.0,0.0
boyleja01,13,1087,4232,671,1070,139,54,23,570.0,126.0,326,339.0,0.0,59.0,46.0,0.0,0.0
boyleja02,1,15,25,4,7,1,0,0,2.0,0.0,1,5.0,0.0,0.0,0.0,0.0,0.0
boyleji01,1,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bozema01,1,25,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
brabege01,5,152,187,11,19,3,0,2,7.0,0.0,5,108.0,0.0,1.0,9.0,1.0,3.0
brachbr01,15,532,5,0,1,0,0,0,1.0,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0
brachsi01,5,92,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
brackan01,1,3,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
brackgi01,5,315,980,150,273,70,18,16,113.0,13.0,92,186.0,0.0,1.0,8.0,0.0,15.0
brackja01,1,12,44,2,10,4,0,0,4.0,0.0,0,8.0,0.0,0.0,0.0,0.0,0.0
brackjo01,1,7,13,0,2,0,0,0,1.0,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0
braddza01,2,71,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bradeda01,5,94,4,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,2.0,0.0,0.0
bradedo01,1,3,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bradfbi01,1,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bradfbu01,17,697,1605,224,363,50,8,52,175.0,36.0,184,411.0,16.0,19.0,12.0,11.0,43.0
bradfch01,14,562,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bradfch02,3,86,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
bradfla01,4,104,5,1,1,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,1.0
bradfvi01,1,6,5,1,1,0,0,0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
bradlal01,1,1,3,0,0,0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
bradlar01,9,308,63,2,6,0,0,0,5.0,0.0,0,39.0,0.0,0.0,4.0,1.0,0.0
bradlbe01,1,6,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bradlbi01,14,1461,5430,754,1471,275,84,34,552.0,181.0,290,531.0,0.0,73.0,253.0,0.0,0.0
bradlbo01,2,89,290,40,59,15,0,17,45.0,0.0,29,119.0,1.0,6.0,0.0,3.0,5.0
bradlfo01,1,22,82,12,19,2,1,0,8.0,0.0,2,3.0,0.0,0.0,0.0,0.0,0.0
bradlfr01,2,9,2,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
bradlge01,15,567,2258,272,518,64,38,3,172.0,5.0,40,152.0,0.0,0.0,0.0,0.0,2.0
bradlge02,1,4,12,2,2,1,0,0,3.0,0.0,0,1.0,0.0,0.0,0.0,0.0,2.0
bradlhe01,3,24,21,0,5,0,0,0,1.0,0.0,0,3.0,0.0,0.0,2.0,0.0,0.0
bradlhu01,10,277,913,84,238,46,12,2,117.0,23.0,59,57.0,0.0,12.0,39.0,0.0,0.0
bradlja01,1,2,3,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
bradlja02,9,1007,3286,474,755,176,26,104,405.0,67.0,332,960.0,17.0,64.0,5.0,22.0,56.0
bradlje01,1,6,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bradlma01,3,90,113,13,23,5,0,3,5.0,4.0,11,36.0,1.0,0.0,0.0,0.0,2.0
bradlmi01,16,1042,3605,541,976,202,17,125,481.0,88.0,496,817.0,38.0,44.0,14.0,19.0,91.0
bradlph01,10,1022,3695,565,1058,179,43,78,376.0,155.0,432,718.0,18.0,65.0,36.0,21.0,81.0
bradlry01,1,5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bradlsc01,13,604,1648,149,424,75,6,18,184.0,3.0,104,110.0,14.0,11.0,16.0,22.0,52.0
bradlto01,7,189,332,12,48,6,0,1,15.0,0.0,10,117.0,0.0,0.0,32.0,0.0,0.0
bradsda01,1,2,4,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
bradsge01,1,10,23,3,5,2,0,0,6.0,0.0,1,2.0,0.0,1.0,0.0,0.0,2.0
bradsjo01,1,2,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bradste01,2,34,65,10,17,2,1,0,5.0,1.0,5,12.0,0.0,0.0,1.0,0.0,0.0
brady01,1,1,4,1,1,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bradybi01,1,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bradybo01,2,4,6,0,1,0,0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
bradybr01,1,2,2,0,1,1,0,0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
bradycl01,1,53,180,16,41,5,1,0,12.0,0.0,13,12.0,0.0,1.0,6.0,0.0,0.0
bradydo01,1,12,21,4,4,1,0,0,3.0,0.0,2,4.0,0.0,0.0,0.0,0.0,1.0
bradyji01,1,6,0,1,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
bradyki01,5,8,18,1,2,0,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
bradymi01,1,16,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
bradyne01,3,24,31,4,7,0,1,0,2.0,0.0,1,10.0,0.0,0.0,0.0,0.0,0.0
bradyst01,8,490,2030,313,529,50,20,4,114.0,22.0,94,15.0,0.0,9.0,0.0,0.0,3.0
bragabo01,7,597,1900,136,456,62,12,15,172.0,12.0,110,117.0,0.0,2.0,39.0,0.0,54.0
braggda01,17,916,2461,341,627,145,14,46,260.0,56.0,304,570.0,17.0,25.0,24.0,21.0,54.0
braggdi01,1,4,13,1,2,0,0,0,2.0,1.0,0,2.0,0.0,0.0,1.0,0.0,0.0
bragggl01,9,692,2336,308,601,102,16,70,321.0,58.0,211,472.0,22.0,24.0,9.0,29.0,63.0
brainas01,6,108,467,71,116,11,0,0,45.0,4.0,10,7.0,0.0,0.0,0.0,0.0,4.0
brainda01,11,679,2543,254,641,97,52,27,303.0,73.0,134,216.0,0.0,11.0,55.0,0.0,0.0
brainfr01,3,95,261,32,51,7,2,1,21.0,6.0,22,44.0,0.0,1.0,4.0,0.0,0.0
braital01,1,2,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
brameer01,5,218,396,43,121,21,2,8,75.0,0.0,10,32.0,0.0,2.0,8.0,0.0,0.0
bramhar01,1,2,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
brancal01,4,282,930,117,199,37,11,4,80.0,5.0,96,92.0,0.0,3.0,9.0,0.0,24.0
brancha01,1,1,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
brancno01,2,37,13,1,1,0,0,0,1.0,0.0,1,5.0,0.0,0.0,0.0,0.0,1.0
